"Feature";"Description";"Type";"User Role";"Available As Of";"Release"
"Clarification bins for fleet management systems";"You can define clarification bins for fleet management systems and assign them to robot
processes. When robots from a fleet management system can’t unload HUs
at destination bins, the system assigns clarification bins to the robots
as new destination bins so that the robots can continue to process other
warehouse orders.The Define Clarification Bins
step is added to the Define Robot Processes – Fleet
Management app.Two robot task phases are
added to the Monitor Robots app:
Leave for Drop-Off at Clarification Bin
and Drop Off HU at Clarification Bin. You can
see these two task phases for warehouse orders with destination bin
errors.";"New";"Warehouse Clerk";"2023-08-19";"2308"
"Additional API methods for integration with fleet management systems";"You can use the following additional API methods for the Integration with
Fleet Management Systems API on the SAP Business
Accelerator Hub:
Update Robot Tasks​
Update Robot Task Change
Status";"New";"Not applicable";"2023-08-19";"2308"
"Enhancement to the integration with SAP EWM";"You can integrate  SAP Warehouse Robotics with
more versions of SAP EWM. For more information, see Connecting to SAP EWM.";"New";"Not applicable";"2023-08-19";"2308"
"Additional API methods for integration with fleet management
systems";"You can find the API Integration with Fleet Management Systems
on the SAP Business Accelerator Hub. You can use the following
additional API methods for the API:
Cancel Robot Tasks
Update Robot Task Cancelation
Status
Query Robots
Check Connection";"New";"Not applicable";"2023-05-20";"2305"
"Time interval between data synchronizations";"In the Define EWM Integration Settings step of the
Configure Your Solution app, you can define a
time interval to retrieve open warehouse orders from SAP EWM. Note that
this feature is only applicable for integration with fleet management
systems.";"Changed";"Warehouse Clerk";"2023-05-20";"2305"
"Enhancements to the Monitor Robots app";"With this app, you can do the following monitoring activities:

Monitor warehouse orders and relevant robot tasks from different non-SAP fleet
management systems, for example, to view the current robot
task phase and status


Cancel and close robot tasks


Check and solve exceptions relevant to robot task processing


View robots from different fleet management systems travelling on the same warehouse
layout with real-time information about the robots, such as
robot statuses, current warehouse orders, robot tasks, robot
positions, and so on";"Changed";"Warehouse Clerk";"2023-05-20";"2305"
"Renaming apps";"The Define Robot Settings app is renamed to
Define Robot Settings - Integration Services
app, and the Define Robot Processes app is
renamed to Define Robot Processes - Fleet
Management app. The purpose of the renaming is to
distinguish apps that are only for robots integrated via fleet
management or via integration services for  SAP Warehouse Robotics.";"Changed";"Warehouse Clerk";"2023-05-20";"2305"
"Renaming UI label";"The Minimum Battery Level for Charging field is renamed to
Minimum Battery Level to Stop Charging in the
Manage Robot Battery step of the
Define Robot Settings - Integration
Services.";"Changed";"Warehouse Clerk";"2023-05-20";"2305"
"Enhancements to integration services for  SAP Warehouse Robotics";"The following enhancements are available in this release:

The "https" proxy is supported for CR Syncer, the
credential-installer service, and Fluent Bit.
